,City,City id,Temp,Humidity,Wind Speed,Clouds,Lat,Lng
344,Sioux Lookout,6148373,51.8,100,2.82,40,50.1,-91.92
345,Yerbogachen,2012956,58.56,74,6.96,20,61.28,108.01
346,Vila Franca do Campo,3372472,68.0,72,6.93,75,37.72,-25.43
347,Nantai,1797414,71.79,97,4.61,36,36.41,105.98
348,Sovetskaya,490065,66.16,72,1.92,0,44.78,41.17
349,Creel,4012593,69.22,34,5.06,56,27.75,-107.63
350,Poros,745148,68.0,72,5.17,20,40.9,26.22
351,Karratha,6620339,73.05,14,13.78,0,-20.74,116.85
352,Sola,643453,55.4,93,6.93,40,62.78,29.36
353,Yamada,1849876,81.66,65,5.82,75,36.58,137.08
354,Yulara,6355222,59.0,28,4.7,0,-25.24,130.99
355,Vasterhaninge,2664339,51.49,93,5.5,32,59.12,18.1
356,Fez,2548885,77.41,31,5.82,0,34.03,-5.02
357,Matara,3948642,39.52,95,2.15,92,-13.74,-72.9
358,Tabuk,1684803,75.21,87,2.48,76,17.41,121.44
359,Micheweni,153955,75.66,100,14.0,92,-4.97,39.83
360,Bud,7626370,57.2,87,4.7,88,62.91,6.91
361,Gandu,1791522,57.39,100,2.04,92,35.89,102.33
362,Muroto,1856392,87.8,74,11.41,40,33.37,134.14
363,Espanola,5949493,66.03,96,4.05,24,46.27,-81.77
364,Dingle,1714733,74.44,100,9.98,92,11.0,122.67
365,Port-Gentil,2396518,72.91,100,11.21,56,-0.72,8.78
366,Ibra,287832,80.16,53,2.48,24,22.69,58.55
367,Srednekolymsk,2121025,54.06,58,4.27,0,67.46,153.71
368,Kurakh,538994,57.61,90,1.7,0,41.58,47.78
369,Tara,1861464,94.03,56,11.41,75,33.0,130.15
370,Sorland,3137469,53.29,100,5.17,92,67.67,12.69
371,Harper,4696310,85.1,58,5.82,1,30.3,-99.24
372,Great Yarmouth,2647984,64.4,88,4.7,8,52.61,1.73
373,Tasiilaq,3424607,39.2,86,12.75,68,65.61,-37.64
374,Mayumba,2399001,69.31,96,3.38,88,-3.44,10.65
375,Vestmannaeyjar,3412093,50.32,84,18.37,20,63.44,-20.27
376,Makasar,1642911,84.2,58,3.36,40,-6.28,106.88
377,Kizhinga,2022003,66.16,76,5.5,8,51.85,109.91
378,Saint-Pierre,2995603,66.0,52,3.36,0,48.95,4.24
379,Mayo,6068416,64.4,63,8.05,75,63.59,-135.9
380,Parabel,1495586,60.0,76,4.61,0,58.71,81.5
381,San,2451778,69.99,99,2.59,92,13.3,-4.9
382,Sorong,1626542,80.29,100,13.33,92,-0.86,131.25
383,Paciran,1633442,86.82,45,5.39,0,-6.9,112.33
384,Longyan,1802276,85.42,69,2.48,12,25.1,117.03
385,Novorzhev,518236,60.54,74,9.86,68,57.03,29.33
386,Potsdam,2852458,63.45,59,3.36,0,52.4,13.06
387,Hvide Sande,2619537,59.04,100,3.36,76,56.01,8.13
388,Bathsheba,3374083,80.6,83,20.8,40,13.22,-59.52
389,Ilheus,3461408,75.2,88,2.24,75,-14.79,-39.05
390,Lagoa,2267254,75.2,47,4.7,0,37.14,-8.45
391,Mount Gambier,2156643,51.22,84,8.52,92,-37.83,140.78
392,Smithers,6149996,77.0,29,11.41,75,54.78,-127.17
393,Garissa,197745,67.96,82,9.42,0,-0.46,39.64
394,Cockburn Town,3576994,82.23,99,19.71,20,21.46,-71.14
395,Castanos,4015022,81.82,47,7.63,32,26.78,-101.42
396,Oranjemund,3354071,55.32,100,15.23,100,-28.55,16.43
397,Victor Harbor,2059470,55.4,66,19.46,75,-35.55,138.62
398,Churapcha,2025241,69.31,75,4.38,0,62.0,132.43
399,Pyapon,1299237,78.18,100,16.69,92,16.29,95.68
400,Marawi,1701054,75.66,83,6.62,36,8.0,124.29
401,Aktau,610612,78.8,41,4.47,0,43.65,51.16
402,Rio Gallegos,3838859,33.8,95,5.82,90,-51.62,-69.22
403,Singkang,1732871,84.2,79,4.7,75,2.1,102.8
404,Vilcun,3868210,42.67,98,4.61,92,-38.65,-72.23
405,Chimala,160464,42.72,88,2.48,0,-8.86,34.02
406,Asyut,359783,77.0,57,9.17,0,27.18,31.19
407,Auki,2339937,68.59,96,4.94,76,12.18,6.51
408,Brae,2654970,54.61,87,10.29,88,60.4,-1.35
409,Karlstad,2701680,53.6,81,3.36,68,59.38,13.5
410,Vila Real,2732438,54.78,95,2.15,36,41.3,-7.75
411,Carauari,3664659,71.34,99,2.93,32,-4.88,-66.9
412,Zdvinsk,1485312,62.97,70,8.19,0,54.7,78.67
413,Christchurch,2192362,51.8,87,10.29,8,-43.53,172.64
414,Ullal,1253888,77.0,83,6.93,75,12.8,74.85
415,Novokizhinginsk,2018930,66.16,76,5.5,8,51.61,109.59
416,Mumford,2297810,73.5,89,10.54,36,5.26,-0.76
417,Rubbestadneset,3141032,61.81,93,6.93,75,59.81,5.27
418,Nemuro,2128975,59.0,77,6.93,75,43.32,145.57
